Name,Degree,Location,City,Consult Fee,Years of Experience,Speciality,Availability,Doctor       
Dr. Bhavya K Bairy,"MBBS, M.D. (Psychiatry)",Sampangiramnagar,Bangalore,â‚¹1200,11,Psychiatrist,06:00-07:26,Endocrinologist
Dr. Vineetha Venugopalan,"BDS, MDS - Periodontics",HSR Layout,Bangalore,â‚¹500,10,"Periodontist, Cosmetic/Aesthetic Dentist, Dental Surgeon",06:00-07:27,Gastroenterologist
Dr. Arul Furtado,"MBBS, MS - General Surgery, MCh - Cardiovascular and Thoracic Surgery, DNB - Cardiothoracic Surgery, DNB - General Surgery",Hebbal,Bangalore,â‚¹1000,16,"Cardiothoracic and Vascular Surgeon, Cardiac Surgeon, Cardiothoracic Surgeon",06:00-07:28,Gastroenterologist
Dr. Amol Sangewar,"BDS, MDS - Prosthodontist And Crown Bridge",Bilekahalli,Bangalore,â‚¹300,11,"Prosthodontist, Implantologist",06:00-07:29,Gastroenterologist
Dr. Lakshmikanth P,"MBBS, MD - General Medicine, DM - Cardiology",Bannerghatta Road,Bangalore,â‚¹1000,17,Cardiologist,06:00-07:30,Gastroenterologist 
Dr. Sindhujaa Sreekanth S,"MBBS, MD - Dermatology , Venereology & Leprosy",Koramangala 7 Block,Bangalore,â‚¹600,t4,"Dermatosurgeon, Aesthetic Dermatologist, Trichologist, Dermatologist, Hair Transplant Surgeon, Cosmetologist",06:00-07:31,Gastroenterologist
Dr. Monika,BDS,Harlur,Bangalore,â‚¹200,10,Dentist,06:00-07:32,Gynecologist
Dr. Srikanth S.,"MBBS, MD - Community Medicine",Jayanagar 3 Block,Bangalore,â‚¹250,n9,General Physician,06:00-07:33,Hepatologist
Dr. Archana Agarwal,"MBBS, DGO",Marathahalli,Bangalore,â‚¹800,30,"Infertility Specialist, Gynecologist, Obstetrician",06:00-07:34,Hepatologist
Dr. Minu Jain,"MD - Homeopathy, PG Diploma In Clinical Cosmetology (PGDCC), BHMS",HSR Layout,Bangalore,â‚¹600,29,"AYUSHCosmetologist, Homoeopath",06:00-07:35,hepatologist
Dr. Shilpa I.G,"MDS - Paedodontics And Preventive Dentistry, BDS",Singasandra,Bangalore,â‚¹300,16,"Dentist, Pediatric Dentist, Cosmetic/Aesthetic Dentist, Dental Surgeon",06:00-07:36,Hepatologist
Dr. Arundati Krishna Raj,"BDS, MDS - Prosthodontist And Crown Bridge",RT Nagar,Bangalore,â‚¹200,19,"Dentist, Prosthodontist",06:00-07:37,Hepatologist
Dr. Nandish H S,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Millers Road,Bangalore,â‚¹1000,16,Neurosurgeon,06:00-07:38,Hepatologist
Dr. Kavya Krishnappa,"MBBS, MS - Obstetrics & Gynaecology",HSR Layout,Bangalore,â‚¹1100,10,"Gynecologist, Infertility Specialist",06:00-07:39,Hepatologist
Dr. Nabila,"MBBS, MD - Obstetrics & Gynaecology",HBR Layout,Bangalore,â‚¹500,n8,"Gynecologist, Obstetrician",06:00-07:40,Internal Medcine
Dr. Usha Rao. N,BAMS,BTM Layout,Bangalore,â‚¹500,a4,AYUSHAyurveda,06:00-07:41,Internal Medcine
Dr. Jesheela,"BHMS, M.D. Hom. (Paeditrics)",Koramangala,Bangalore,â‚¹450,14,"AYUSHHomoeopath, Homoeopathic Pediatrician",06:00-07:42,Neurologist
Dr. Kusum Bashetty,"BDS, MDS - Conservative Dentistry & Endodontics",Akshaya nagar,Bangalore,â‚¹400,20,"Endodontist, Cosmetic/Aesthetic Dentist",06:00-07:43,Neurologist
Dr. Ulka G. Bhokare,"MBBS, MS - Ophthalmology",Kundalahalli,Bangalore,â‚¹650,17,Ophthalmologist/ Eye Surgeon,06:00-07:44,Neurologist
Dr. Geetika Goyal,"MBBS, PhD - Psychology, MA - Psychology, Diploma in Counselling and Psychotherapy",BTM Layout,Bangalore,â‚¹1200,27,"TherapistCounselling Psychologist, Psychotherapist",06:00-07:45,Osteopathic
Dr. Naveen K.,"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",Ulsoor,Bangalore,â‚¹500,21,"Dental Surgeon, Orthodontist",06:00-07:46,Otolaryngologist
Dr. Ishwar Amalazari,"MBBS, MD - General Medicine, DM - Gastroenterology",Yeshwanthpur,Bangalore,â‚¹850,t6,Gastroenterologist,06:00-07:47,Otolaryngologist
Dr. Netaji   (Physiotherapist),BPTh/BPT,Jigani,Bangalore,â‚¹400,t1,TherapistPhysiotherapist,06:00-07:48,Pediatrician
Dr. R. Srinivasa,"MBBS, MD - Medicine, DM - Neurology",Hebbal,Bangalore,â‚¹1000,45,Neurologist,06:00-07:49,Phlebologist
Dr. Deepak Chaudhary,"MBBS, Masters in Clinical Dermatology",Ashoknagar,Bangalore,â‚¹1000,16,Hair Transplant Surgeon,06:00-07:50,Pulmonologist
Dr. Shobha K,"MBBS, MS - Obstetrics & Gynaecology",Yelahanka,Bangalore,â‚¹900,25,"Obstetrician, Gynecologist",06:00-07:51,Pulmonologist
Dr. Priyadarshini M,"MD - Dermatology , Venereology & Leprosy, MBBS",Sahakaranagar,Bangalore,â‚¹600,12,"Dermatologist, Cosmetologist",06:00-07:52,Rheumatologists
Dr. Jinesh Babu R,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",Sadashivanagar,Bangalore,â‚¹300,t9,"Dentist, Orthodontist",06:00-07:53,Rheumatologists
Dr. Prakash Rathod,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Yeshwanthpur,Bangalore,â‚¹600,n5,Neurosurgeon,06:00-07:54,Tuberculosis
Dr. U Poovazhagan   (Physiotherapist),"BPTh/BPT, Diploma in Naturopathy & Yoga (NDDY)",KR Puram,Bangalore,â‚¹1200,15,TherapistPhysiotherapist,06:00-07:55,Allergist
Dr. Mahesh Channabasappa Gonchikar,"MBBS, DNB - Orthopedics/Orthopedic Surgery, Diploma in Orthopaedics",Malleswaram,Bangalore,â‚¹850,29,Joint Replacement Surgeon,06:00-07:56,Allergist
Dr. Shivaraj A L,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",Whitefield,Bangalore,â‚¹850,13,Pulmonologist,06:00-07:57,Cardiologist
Dr. P Ranganath Nayak,"MBBS, DM - Cardiology, DNB - General Medicine, MD - General Medicine",Millers Road,Bangalore,â‚¹1000,23,Cardiologist,06:00-07:58,Cardiologist
Dr. Sophia,"MBBS, Post Doctoral Fellowship in Reproductive Medicine, MS - Obstetrics & Gynaecology",Electronics City,Bangalore,â‚¹850,14,Infertility Specialist,06:00-07:59,Dermatologist
Dr. Kavitha Bhaskar   (Physiotherapist),Masters of Physiotheraphy,Peenya,Bangalore,â‚¹500,t4,TherapistPhysiotherapist,05:00-06:00,Dermatologist
Dr. Jayalakshmi S,BDS,Vidyaranyapura,Bangalore,â‚¹300,12,Dentist,05:00-06:01,Dermatologist
Dr. Sreenivasa Murthy T. M,"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology",Yeshwanthpur,Bangalore,â‚¹950,23,"ENT/ Otorhinolaryngologist, Otologist/ Neurotologist",05:00-06:02,Dermatologist
Dr. Sunil Havannavar,"MBBS, DNB - General Medicine",Sarjapur Road,Bangalore,â‚¹800,20,Consultant Physician,05:00-06:03,Dermatologist
Dr. Pallavi Agarwal,BHMS,Whitefield,Bangalore,â‚¹500,h8,AYUSHHomoeopath,05:00-06:04,Endocrinologist
Dr. Harish P,"MBBS, MD - Medicine, DM - Medical Oncology",Yelahanka,Bangalore,â‚¹900,15,"Medical Oncologist, Hematologic Oncologist",05:00-06:05,Endocrinologist
Dr. Adarsh Someshekar,"MBBS, MD - Pediatrics",Kalyan Nagar,Bangalore,â‚¹650,26,Pediatrician,05:00-06:06,Endocrinologist
Dr. Sharath Kumar Shetty,"MBBS, MS - Orthopaedics",Ashoknagar,Bangalore,â‚¹800,22,Orthopedic surgeon,05:00-06:07,Endocrinologist
Dr. Sharan Srinivasan,"MBBS, DNB - Neurosurgery",Malleswaram,Bangalore,â‚¹800,22,Neurosurgeon,05:00-06:08,Gastroenterologist
Dr. Shashidhar V Karpuramath,"DM - Oncology, MD - General Medicine, MBBS",Ashoknagar,Bangalore,â‚¹800,17,Medical Oncologist,05:00-06:09,Gastroenterologist
Dr. Harsha GT,"MBBS, M.D. (Psychiatry)",Yeshwanthpur,Bangalore,â‚¹1000,10,Psychiatrist,05:00-06:10,Gastroenterologist
Dr. Raghunath C.N,"MBBS, MD - Pediatrics",Jayanagar,Bangalore,â‚¹700,25,"Pediatrician, Paediatric Intensivist",05:00-06:11,Gastroenterologist 
Dr. Sowbhagya B,"MBBS, MD - Obstetrics & Gynaecology",Malleswaram,Bangalore,â‚¹700,23,"Gynecologist, Obstetrician",05:00-06:12,Gastroenterologist
Dr. M Sanjeeva Naik   (Physiotherapist),BPTh/BPT,Whitefield,Bangalore,â‚¹500,t3,TherapistPhysiotherapist,05:00-06:13,Gynecologist
Dr. Udaya Kumar S,"MBBS, MD - Dermatology , Venereology & Leprosy",Sarjapur Road,Bangalore,â‚¹700,t8,Dermatologist,05:00-06:14,Hepatologist
Dr. Vaishali Joglekar   (Physiotherapist),"BPTh/BPT, MPT/MPTh - Obstetrics and Gynaecology Physiotherapy",Electronics City,Bangalore,â‚¹600,10,TherapistPhysiotherapist,05:00-06:15,Hepatologist
Dr. Shivaprasad BM,"BDS, MDS - Periodontics, FICOI",Gubbalala,Bangalore,â‚¹300,22,"Implantologist, Periodontist, Dentist",05:00-06:16,hepatologist
Dr. R Sanjay Rampure,"DNB - Nephrology, MBBS",Old Airport Road,Bangalore,â‚¹1100,32,Nephrologist/Renal Specialist,05:00-06:17,Hepatologist
Dr. Sneha Kumari Ojha,BDS,Bellandur,Bangalore,â‚¹400,t8,Dentist,05:00-06:18,Hepatologist
Dr. Manish Ganesh Pai,"MBBS, MS - General Surgery, MCh - Neuro Surgery",JP Nagar,Bangalore,â‚¹800,22,Neurosurgeon,05:00-06:19,Hepatologist
Dr. Santosh Gaur,"MD - Physician, DGO, DNB - Obstetrics & Gynecology",Koramangala,Bangalore,â‚¹500,16,"Infertility Specialist, Gynecologist, Obstetrician",05:00-06:20,Hepatologist
Dr. Nagesh Basavaraj,"MBBS, DNB - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",Kengeri,Bangalore,â‚¹700,24,"Cardiothoracic and Vascular Surgeon, Cardiac Surgeon, Cardiothoracic Surgeon",05:00-06:21,Internal Medcine
Dr. Amita Bhandarkar,"MBBS, MD - General Medicine",HSR Layout,Bangalore,â‚¹700,21,Internal Medicine,05:00-06:22,Internal Medcine
Dr. Shashikiran R,"MS - Orthopaedics, MBBS",Malleswaram,Bangalore,â‚¹700,15,"Orthopedic surgeon, Joint Replacement Surgeon",05:00-06:23,Neurologist
Ms. Nitika Gupta,BASLP,Mahadevapura,Bangalore,â‚¹650,14,"TherapistAudiologist, Speech Therapist",05:00-06:24,Neurologist
Ms. Mageetha,Diploma in Special Education (Hearing Impairment),Sahakaranagar,Bangalore,â‚¹1000,14,TherapistSpeech Therapist,05:00-06:25,Neurologist
Dr. Shreyas Rajaram,"BDS, MDS - Orthodontics",Banaswadi,Bangalore,â‚¹300,13,"Cosmetic/Aesthetic Dentist, Dentofacial Orthopedist",05:00-06:26,Osteopathic
Dr. Neeru Sanghi,"BAMS, Post Graduate Diploma In Yoga",Koramangala 4 Block,Bangalore,â‚¹1000,21,AYUSHAyurveda,05:00-06:27,Otolaryngologist
Dr. S M Farhana,"MBBS, MD - Pediatrics",Kadugodi,Bangalore,â‚¹500,12,Pediatrician,05:00-06:28,Otolaryngologist
Dr. Katta R Venkatesh,"MDS - Periodontics, BDS",Banashankari 3rd Stage,Bangalore,â‚¹500,20,"Dentist, Periodontist, Implantologist, Dental Surgeon",05:00-06:29,Pediatrician
Dr. Poorvi Shrivastava,"MDS - Conservative Dentistry & Endodontics, BDS",Marathahalli,Bangalore,â‚¹200,12,"Endodontist, Dental Surgeon, Dentist",05:00-06:30,Phlebologist
Dr. Chandramohan Raju D,BDS,Malleswaram,Bangalore,â‚¹700,17,Dental Surgeon,05:00-06:31,Pulmonologist
Dr. T. Satish Rao,"MBBS, Diploma in Otorhinolaryngology (DLO)",Kanakpura Road,Bangalore,â‚¹600,23,ENT/ Otorhinolaryngologist,05:00-06:32,Pulmonologist
Dr. Pooja Jain,BDS,Richmond Town,Bangalore,â‚¹500,t5,Dentist,05:00-06:33,Rheumatologists
Dr. Sujatha Pai B,"BDS, MDS - Periodontology and Oral Implantology",Jayanagar 4 Block,Bangalore,â‚¹500,22,"Periodontist, Implantologist, Dentist",05:00-06:34,Rheumatologists
Dr. Vani P,"M.D. (Psychiatry), MBBS",HSR Layout,Bangalore,â‚¹1250,t5,Psychiatrist,05:00-06:35,Tuberculosis
Dr. Shivadev M,"MBBS, M.D. (Psychiatry)",Koramangala 6 Block,Bangalore,â‚¹1200,17,"Sexologist, Psychiatrist",05:00-06:36,Allergist
Dr. Shuba Dharmana,"MBBS, Diploma of the Faculty of Family Planning (DFFP), Diploma in Practical Dermatology",Frazer Town,Bangalore,â‚¹1500,21,TherapistCosmetologist,05:00-06:37,Allergist
Dr. Mahantesh,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",HSR Layout,Bangalore,â‚¹500,15,"Cosmetic/Aesthetic Dentist, Dental Surgeon, Orthodontist, Implantologist, Dentist",05:00-06:38,Cardiologist
Dr. Pranav Honnavara Srinivasan,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, DNB - General Surgery, MNAMS - General Surgery",Rajarajeshwarinagar,Bangalore,â‚¹850,12,"Gastroenterologist, GastroIntestinal Surgeon, General Surgeon",05:00-06:39,Cardiologist
Dr. Vaishnavi S,"MBBS, MD - General Medicine, DNB  - Medical Oncology",Sahakaranagar,Bangalore,â‚¹600,17,Medical Oncologist,05:00-06:40,Dermatologist
Dr. Yogesh T Lakkashetty,"BDS, MDS- Oral Pathology",Sanjay Nagar,Bangalore,â‚¹300,21,"Dentist, Cosmetic/Aesthetic Dentist, Dental Surgeon",05:00-06:41,Dermatologist
Dr. Akshay Ballal,"MBBS, MD - Pediatrics",Sarjapur Road,Bangalore,â‚¹800,15,Pediatrician,05:00-06:42,Dermatologist
Dr. Hema S,"MBBS, MD - Dermatology , Venereology & Leprosy",Sadashivanagar,Bangalore,â‚¹600,13,"Dermatologist, Trichologist, Aesthetic Dermatologist, Hair Transplant Surgeon, Cosmetologist",05:00-06:43,Dermatologist
Dr. Shaik Javed Hussain,"MBBS, MS - General Surgery",Electronics City,Bangalore,â‚¹800,12,General Surgeon,05:00-06:44,Dermatologist
Dr. Aziim Ahamed,BUMS,Rajajinagar,Bangalore,â‚¹600,i6,"AYUSHSexologist (Unani), Sexologist, Unani",05:00-06:45,Endocrinologist
Dr. Balaraju D,"MD - General Medicine, DNB - Cardiology, MBBS",Jayanagar 9 Block,Bangalore,â‚¹750,13,Cardiologist,05:00-06:46,Endocrinologist
Dr. Regina Joseph,"MBBS, MD - Social & Preventive Medicine / Community Medicine, Fellowship in Aesthetic Medicine (FAM)",HSR Layout,Bangalore,â‚¹850,31,"General Physician, Cosmetologist, Sexologist",05:00-06:47,Endocrinologist
Dr. Saachi M Khanna,MBBS,HSR Layout,Bangalore,â‚¹200,t1,TherapistSexologist,05:00-06:48,Endocrinologist
Dr. Shishira R J,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",HSR Layout,Bangalore,â‚¹2000,11,Dermatologist,05:00-06:49,Gastroenterologist
Dr. Diptarka Bhattacharyya,"MBBS, DNB - ENT, MS - ENT",Sarjapur Road,Bangalore,â‚¹600,12,ENT/ Otorhinolaryngologist,05:00-06:50,Gastroenterologist
Dr. Satish B N,"BAMS, MD - Ayurveda Medicine",Rajajinagar,Bangalore,â‚¹500,23,AYUSHAyurveda,05:00-06:51,Gastroenterologist
Dr. Chandrashekara Aithal,"MBBS, DVD",BTM Layout 2nd Stage,Bangalore,â‚¹600,33,"Cosmetologist, Dermatologist, Venereologist",05:00-06:52,Gastroenterologist 
Dr. Priya Gohokar,BDS,HSR Layout,Bangalore,â‚¹350,t7,Dentist,05:00-06:53,Gastroenterologist
Dr. Prathiba Govindaiah,"MBBS, DNB - Obstetrics & Gynecology",HSR Layout,Bangalore,â‚¹700,18,Infertility Specialist,05:00-06:54,Gynecologist
Dr. Prabhu Dev P,BDS,Sarjapur Road,Bangalore,â‚¹500,22,"Dentist, Dental Surgeon",05:00-06:55,Hepatologist
Dr. Jayaranganath M,"MBBS, MD - General Medicine, DM - Cardiology",Seshadripuram,Bangalore,â‚¹950,35,Cardiologist,05:00-06:56,Hepatologist
Dr. Latha Shankar,"MBBS, DGO, DNB - Obstetrics & Gynecology, Diploma in Reproductive Medicine (Germany)",Sahakaranagar,Bangalore,â‚¹850,29,"Gynecologist, Obstetrician, Infertility Specialist",05:00-06:57,hepatologist
Dr. Kavya B N,"MBBS, DNB - Family Medicine",Yeshwanthpur,Bangalore,â‚¹750,12,Family Physician,05:00-06:58,Hepatologist
Dr. Mamatha.B.Reddy,"MBBS, DGO",Hoodi,Bangalore,â‚¹750,14,"Obstetrician, Gynecologist",05:00-06:59,Hepatologist
Dr. Rashmi Sandeep,BDS,Indiranagar,Bangalore,â‚¹500,19,Dentist,02:00-05:00,Hepatologist
Dr. Ravindranath Kudva,"MBBS, Diploma in Otorhinolaryngology (DLO)",Indiranagar,Bangalore,â‚¹700,42,ENT/ Otorhinolaryngologist,02:00-05:01,Hepatologist
Dr. Mohan,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",Millers Road,Bangalore,â‚¹1000,16,Urologist,02:00-05:02,Internal Medcine
Dr. S D Shamsundar,"MD - Radiotherapy, MBBS",Vijayanagar,Bangalore,â‚¹1000,11,Radiation Oncologist,02:00-05:03,Internal Medcine
Dr. Rahul Reddy,"MBBS, DNB - General Medicine, DM - Neurology",Electronics City,Bangalore,â‚¹800,14,Neurologist,02:00-05:04,Neurologist
Dr. J B Agadi,"MBBS, MD - General Medicine, DM - Neurology",Seshadripuram,Bangalore,â‚¹740,45,Neurologist,02:00-05:05,Neurologist
Dr. Ramya Deepthi,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Rajajinagar,Bangalore,â‚¹500,14,"Plastic Surgeon, Cosmetologist, Hair Transplant Surgeon",02:00-05:06,Neurologist
Dr. Ravikeerthy M,"MBBS, MD - General Medicine",Kengeri,Bangalore,â‚¹400,27,Internal Medicine,02:00-05:07,Osteopathic
Dr. Prateek Patil,"MS - General Surgery, MBBS",Ulsoor,Bangalore,â‚¹500,16,"General Surgeon, Proctologist, Laparoscopic Surgeon",02:00-05:08,Otolaryngologist
Dr. Bidisha Banerjee,"MBBS, MD - Pediatrics, DM - Pediatric Neurology",Old Airport Road,Bangalore,â‚¹1100,20,Pediatric Neurologist,02:00-05:09,Otolaryngologist
Dr. Lalchand Bandagi,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",Old Airport Road,Bangalore,â‚¹1100,20,Cardiologist,02:00-05:10,Pediatrician
Dr. Ritu Taly,"BHMS, MSc - Psychology",HSR Layout,Bangalore,â‚¹350,18,AYUSHHomoeopath,02:00-05:11,Phlebologist
Dr. Kishor S Gowda,BDS,Horamavu,Bangalore,â‚¹400,t5,Dentist,02:00-05:12,Pulmonologist
Dr. Sneha Rajiv,"MBBS, MS - Obstetrics & Gynaecology",Yeshwanthpur,Bangalore,â‚¹950,13,"Gynecologist, Obstetrician",02:00-05:13,Pulmonologist
Dr. Prince K Prasannan,"MDS - Conservative Dentistry & Endodontics, BDS",Kasturi nagar,Bangalore,â‚¹400,10,"Endodontist, Dentist",02:00-05:14,Rheumatologists
Dr. Shruthi Mohan,BDS,RMV 2nd Stage,Bangalore,â‚¹250,15,Dentist,02:00-05:15,Rheumatologists
Dr. Chandan Mahesh,BDS,HSR Layout,Bangalore,â‚¹250,13,"Implantologist, Dental Surgeon, Cosmetic/Aesthetic Dentist",02:00-05:16,Tuberculosis
Dr. Maheshwari,"MBBS, MS - Obstetrics & Gynaecology",Banashankari,Bangalore,â‚¹600,14,"Infertility Specialist, Obstetrician, Gynecologist",02:00-05:17,Allergist
Dr. Prashanth Hungund,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",Yeshwanthpur,Bangalore,â‚¹600,27,Urologist,02:00-05:18,Allergist
Dr. Dhruva Ithal,"MBBS, M.D. (Psychiatry)",Indiranagar,Bangalore,â‚¹1500,11,Psychiatrist,02:00-05:19,Cardiologist
Dr. Ravikiran CS,"MBBS, MS - General Surgery, MCh - Pediatric  Surgery",Old Airport Road,Bangalore,â‚¹1100,25,Pediatric Surgeon,02:00-05:20,Cardiologist
Dr. Gautami Pujar   (Physiotherapist),"BPTh/BPT, Masters of Physiotheraphy",Panathur,Bangalore,â‚¹300,t7,TherapistPhysiotherapist,02:00-05:21,Dermatologist
Dr. Aruna,BHMS,KR Puram,Bangalore,â‚¹500,29,AYUSHHomoeopath,02:00-05:22,Dermatologist
Dr. Raman Shobana,"DGO, DNB - Obstetrics & Gynecology, MBBS",Electronics City,Bangalore,â‚¹850,13,"Obstetrician, Gynecologist, Infertility Specialist",02:00-05:23,Dermatologist
Dr. Rewat Laxman,"MBBS, Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",Koramangala,Bangalore,â‚¹850,11,Joint Replacement Surgeon,02:00-05:24,Dermatologist
Dr. Amit K Shrivastav   (Physiotherapist),"MPTh/MPT - Musculoskeletal Physiotherapy, BPTh/BPT",BTM Layout 2nd Stage,Bangalore,â‚¹750,17,"TherapistGeriatric Physiotherapist, Physiotherapist",02:00-05:25,Dermatologist
Dr. Girish Nelivigi,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",Bellandur,Bangalore,â‚¹650,30,Urologist,02:00-05:26,Endocrinologist
Dr. Thara R Nair,"MBBS, DO",Kammana Halli,Bangalore,â‚¹200,12,Ophthalmologist/ Eye Surgeon,02:00-05:27,Endocrinologist
Dr. Wanve Balasaheb,"MBBS, DNB - Pediatrics, DM - Clinical Haematology",Basavanagudi,Bangalore,â‚¹1000,20,"Hematologic Oncologist, Clinical Hematologist",02:00-05:28,Endocrinologist
Dr. Anoop P,"MBBS, MD - Pediatrics, Diploma in Child Health (DCH), Fellow of the Royal College of Pediatrics and Child Health (UK), FRCPath, CCT - Haematology",Whitefield,Bangalore,â‚¹900,24,Hematologist,02:00-05:29,Endocrinologist
Dr. Deepika Dorothy John,"MBBS, MS - Ophthalmology",Kammana Halli,Bangalore,â‚¹200,11,Ophthalmologist/ Eye Surgeon,02:00-05:30,Gastroenterologist
Dr. D J Navinchand,"MBBS, MS - Orthopaedics",Hebbal,Bangalore,â‚¹800,40,Orthopedic surgeon,02:00-05:31,Gastroenterologist
Dr. Dinesh V Kamath,"MBBS, MD - General Medicine",Malleswaram,Bangalore,â‚¹700,37,General Physician,02:00-05:32,Gastroenterologist
Dr. Harshita TR,"MBBS, MS - ENT",RMV 2nd Stage,Bangalore,â‚¹500,12,ENT/ Otorhinolaryngologist,02:00-05:33,Gastroenterologist 
Dr. Sanjay Bhat,"MBBS, MD - General Medicine, DNB - Cardiology, MNAMS - Cardiology",Hebbal,Bangalore,â‚¹1000,16,"Interventional Cardiologist, Cardiologist, Cardiologist",02:00-05:34,Gastroenterologist
Dr. Harish N S,"MBBS, Fellowship in Diabetes (UK), MD - General Medicine",Basavanagudi,Bangalore,â‚¹500,14,"General Physician, Consultant Physician, Internal Medicine",02:00-05:35,Gynecologist
Dr. Nagaraj Palankar,"MBBS, MS - General Surgery, DNB - Surgical Gastroenterology",Old Airport Road,Bangalore,â‚¹1100,24,GastroIntestinal Surgeon,02:00-05:36,Hepatologist
Dr. Vijay Kumar. M. N.,MBBS,Jayanagar,Bangalore,â‚¹800,44,General Physician,02:00-05:37,Hepatologist
Dr. Siddaraju ML,"MBBS, MD - Pediatrics",Jayanagar,Bangalore,â‚¹550,44,Pediatrician,02:00-05:38,hepatologist
Dr. Sridutt Bhadri,"MBBS, MS - General Surgery, MCh - Neuro Surgery, FRCS - Neurosurgery",Electronics City,Bangalore,â‚¹900,7,Neurosurgeon,02:00-05:39,Hepatologist
Dr. Deepak R,"MBBS, DNB - Orthopedics/Orthopedic Surgery",Yeshwanthpur,Bangalore,â‚¹950,16,Orthopedic surgeon,02:00-05:40,Hepatologist
Ms. Dextra Serneja Pereira,"M.Phil - Clinical Psychology, BA - Psychology",Whitefield,Bangalore,â‚¹1200,6,TherapistClinical Psychologist,02:00-05:41,Hepatologist
Dr. Shubham Tiwary,BHMS,Indiranagar,Bangalore,â‚¹300,4,AYUSHHomoeopath,02:00-05:42,Hepatologist
Dr. P S Lakshmi,BDS,Bannerghatta Road,Bangalore,â‚¹500,28,"Cosmetic/Aesthetic Dentist, Dentist",02:00-05:43,Internal Medcine
Dr. Ayushi Verma,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",Kundalahalli,Bangalore,â‚¹300,7,"Orthodontist, Dentofacial Orthopedist",02:00-05:44,Internal Medcine
Dr. Sahana S,"MBBS, MD - Pediatrics",Marathahalli,Bangalore,â‚¹950,11,Pediatrician,02:00-05:45,Neurologist
Dr. Shivaprasad C,"MBBS, MD - General Medicine",BTM Layout,Bangalore,â‚¹600,30,Consultant Physician,02:00-05:46,Neurologist
Dr. B Shilpa Naidu,"MBBS, MD - General Medicine",Whitefield,Bangalore,â‚¹800,14,Internal Medicine,02:00-05:47,Neurologist
Dr. Deepthi B C,"BDS, MDS - Prosthodontist And Crown Bridge, Fellowship in Aesthetic Medicine (FAM)",HSR Layout,Bangalore,â‚¹350,15,"Prosthodontist, Implantologist, Cosmetic/Aesthetic Dentist",02:00-05:48,Osteopathic
Dr. Akshay Rao,"MBBS, MD - General Medicine",Sanjay Nagar,Bangalore,â‚¹600,14,"General Physician, Consultant Physician, Internal Medicine, General Practitioner",02:00-05:49,Otolaryngologist
Dr. Preethi.J,BAMS,Rajarajeshwarinagar,Bangalore,â‚¹400,20,"AYUSHAyurveda, Alternative Medicine",02:00-05:50,Otolaryngologist
Ms. Vilasini Bhaskaran,"BSc. - Nutrition Food Service Management and Dietetics, MPhil. - Food Service Management and Dietetics, MSc. - Food Service Management & Dietetics",Indiranagar,Bangalore,â‚¹1000,23,TherapistDietitian/Nutritionist,02:00-05:51,Pediatrician
Dr. Chiranjeevi Y A,"MBBS, Diploma in Child Health (DCH), DNB - Pediatrics",Yelahanka,Bangalore,â‚¹400,12,Pediatrician,02:00-05:52,Phlebologist
Dr. Karthikeyan B.V,"BDS, MDS - Periodontics",Yelahanka,Bangalore,â‚¹400,23,"Periodontist, Implantologist, Cosmetic/Aesthetic Dentist",02:00-05:53,Pulmonologist
Dr. Prof. Madan Mohan M.R.   (Physiotherapist),Masters of Physiotheraphy,Rajajinagar,Bangalore,â‚¹400,15,TherapistPhysiotherapist,02:00-05:54,Pulmonologist
Dr. Vinay P,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",Sanjay Nagar,Bangalore,â‚¹400,14,"Orthodontist, Dentofacial Orthopedist, Cosmetic/Aesthetic Dentist",02:00-05:55,Rheumatologists
Dr. Yogeesh H R,"MBBS, MD - Dermatology , Venereology & Leprosy",Koramangala 4 Block,Bangalore,â‚¹800,30,"Dermatologist, Cosmetologist",02:00-05:56,Rheumatologists
Dr. Avantika Srivastava,BDS,Indiranagar,Bangalore,â‚¹1000,t9,Dentist,02:00-05:57,Tuberculosis
Dr. Ravi Prakash Y,"MBBS, MS - Orthopaedics",Yeshwanthpur,Bangalore,â‚¹500,18,"Joint Replacement Surgeon, Orthopedic surgeon",02:00-05:58,Allergist
